City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Carmen,MX,18.6333,-91.8333,82.04,81,0,15.5,clear sky
192,Atasu,KZ,48.6814,71.6433,54.57,32,1,10.89,clear sky
193,Guerrero Negro,MX,27.9769,-114.0611,67.41,60,0,17.74,clear sky
194,Hasaki,JP,35.7333,140.8333,75.0,43,75,9.22,broken clouds
195,Bayonet Point,US,28.3267,-82.6834,75.99,82,76,11.21,broken clouds
196,Auki,SB,-8.7676,160.7034,84.22,68,91,3.11,overcast clouds
197,Guapiacu,BR,-20.795,-49.2203,71.6,56,0,4.61,clear sky
198,Vao,NC,-22.6667,167.4833,74.28,74,100,25.08,overcast clouds
199,Caramay,PH,10.1815,119.236,85.96,64,100,7.83,overcast clouds
200,Ossora,RU,59.2353,163.0719,33.28,90,62,5.28,broken clouds
201,Saint Anthony,US,45.0205,-93.218,55.99,28,1,6.91,clear sky
202,Clyde River,CA,70.4692,-68.5914,17.6,93,90,4.61,fog
203,Cuajinicuilapa,MX,16.4667,-98.4167,79.16,78,10,2.75,clear sky
204,Vikesa,NO,58.6376,6.0913,35.6,87,0,6.91,clear sky
205,Makushino,RU,55.2103,67.2442,46.29,31,3,12.41,clear sky
206,Cacador,BR,-26.7753,-51.015,50.09,94,1,4.54,clear sky
207,San Vicente,AR,-26.6167,-54.1333,54.64,70,0,2.53,clear sky
208,Coahuayana,MX,18.7333,-103.6833,72.45,91,77,1.39,broken clouds
209,Berlevag,NO,70.8578,29.0864,33.8,64,97,25.79,light snow
210,Puerto Escondido,MX,15.85,-97.0667,80.6,74,1,6.67,clear sky
211,Bentiu,SS,9.2333,29.8333,80.02,57,99,4.72,overcast clouds
212,Price,US,39.5994,-110.8107,69.8,21,1,10.36,clear sky
213,Kruisfontein,ZA,-34.0033,24.7314,51.12,69,0,6.02,clear sky
214,Savona,IT,44.3,8.2667,57.0,99,78,2.95,broken clouds
215,Camacha,PT,33.0833,-16.3333,60.8,67,40,6.91,scattered clouds
216,Solnechnyy,RU,50.7214,136.6319,40.44,64,100,8.88,overcast clouds
217,Fuyu,CN,45.1833,124.8167,59.0,23,87,13.71,overcast clouds
218,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,59,0,9.22,clear sky
219,East London,ZA,-33.0153,27.9116,59.0,67,0,9.22,clear sky
220,Bubaque,GW,11.2833,-15.8333,79.11,68,20,13.42,few clouds
221,Taltal,CL,-25.4,-70.4833,62.46,81,31,2.77,scattered clouds
222,Muros,ES,42.7762,-9.0603,42.01,93,9,6.89,clear sky
223,Ampanihy,MG,-24.7,44.75,68.74,75,2,1.19,clear sky
224,Hamilton,US,39.1834,-84.5333,48.2,49,1,4.61,clear sky
225,Yzeure,FR,46.5644,3.355,45.0,93,100,2.3,overcast clouds
226,Grindavik,IS,63.8424,-22.4338,32.0,69,20,20.71,few clouds
227,Neiafu,TO,-18.65,-173.9833,84.2,74,20,6.91,light rain
228,Bereda,ES,43.2686,-7.5406,44.01,100,96,2.3,overcast clouds
229,Ribeira Grande,PT,38.5167,-28.7,59.85,83,100,12.57,overcast clouds
230,Avarua,CK,-21.2078,-159.775,78.8,78,75,5.75,broken clouds
231,Ancud,CL,-41.8697,-73.8203,55.99,100,90,21.85,light rain
232,Preobrazheniye,RU,42.9019,133.9064,47.71,70,100,6.2,overcast clouds
233,Atar,MR,20.5169,-13.0499,77.88,21,0,6.8,clear sky
234,Lebu,CL,-37.6167,-73.65,55.76,95,100,17.07,light rain
235,Lompoc,US,34.6391,-120.4579,50.0,93,90,12.66,overcast clouds
236,Limulunga,ZM,-15.0969,23.1376,65.03,91,92,4.29,overcast clouds
237,Burley,US,42.5357,-113.7928,71.6,28,1,8.05,clear sky
238,Ishioka,JP,36.1833,140.2667,75.0,56,75,17.27,broken clouds
239,Poum,NC,-20.2333,164.0167,77.31,68,99,9.04,overcast clouds
240,Benguela,AO,-12.5763,13.4055,78.24,80,87,0.83,overcast clouds
241,Mecca,SA,21.4267,39.8261,85.19,39,100,3.85,overcast clouds
242,Caravelas,BR,-17.7125,-39.2481,75.85,62,100,12.71,overcast clouds
243,Apiai,BR,-24.5094,-48.8425,49.35,99,93,1.92,overcast clouds
244,Nanortalik,GL,60.1432,-45.2371,36.43,71,77,11.3,broken clouds
245,Port Shepstone,ZA,-30.7414,30.455,62.64,71,99,9.17,light rain
246,Kalmunai,LK,7.4167,81.8167,85.69,66,26,7.23,scattered clouds
247,Fallon,US,39.4735,-118.7774,78.8,12,90,10.36,overcast clouds
248,Radauti,RO,47.85,25.9167,55.4,82,0,9.22,clear sky
249,Victoria,HK,22.2855,114.1577,82.0,61,97,8.01,overcast clouds
250,Riyadh,SA,24.6877,46.7219,73.4,18,0,3.44,clear sky
251,Souillac,MU,-20.5167,57.5167,77.0,78,40,10.36,scattered clouds
252,Uppsala,SE,60.0,17.75,33.01,93,75,3.76,broken clouds
253,Acari,PE,-15.4311,-74.6158,67.84,81,46,2.44,scattered clouds
254,Ishigaki,JP,24.3448,124.1572,82.4,74,75,12.66,broken clouds
255,Kandrian,PG,-6.2167,149.55,85.21,70,45,9.69,scattered clouds
256,Qui Nhon,VN,13.7667,109.2333,84.24,69,7,10.0,clear sky
257,Sechura,PE,-5.5569,-80.8222,71.28,72,46,12.84,scattered clouds
258,Yar-Sale,RU,66.8333,70.8333,19.33,90,43,8.12,scattered clouds
259,Kirgiz-Miyaki,RU,53.6324,54.7979,50.68,57,100,15.7,overcast clouds
260,Palmer,US,42.1584,-72.3287,46.4,53,90,24.16,light rain
261,Semey,KZ,50.4111,80.2275,55.4,38,0,15.66,clear sky
262,Lorengau,PG,-2.0226,147.2712,84.02,73,57,4.12,broken clouds
263,La Primavera,CO,5.4906,-70.4092,71.29,96,100,1.48,overcast clouds
264,Oriximina,BR,-1.7656,-55.8661,74.86,91,100,2.15,overcast clouds
265,Shimoda,JP,34.6667,138.95,68.0,52,75,17.27,broken clouds
266,Karpathos,GR,35.507,27.2132,66.2,68,20,2.3,few clouds
267,Male,MV,4.1748,73.5089,86.0,74,40,5.75,scattered clouds
268,Barranquilla,CO,10.9639,-74.7964,82.0,78,75,8.05,broken clouds
269,Chernenko,RU,44.365,39.3103,54.86,88,100,3.78,overcast clouds
270,Mahibadhoo,MV,3.7833,72.9667,83.43,68,100,4.52,overcast clouds
271,Carnarvon,AU,-24.8667,113.6333,77.0,38,100,8.05,overcast clouds
272,Road Town,VG,18.4167,-64.6167,78.01,82,0,3.0,clear sky
273,Bad Reichenhall,DE,47.7333,12.8833,48.2,87,75,3.44,broken clouds
274,Tarut,SA,26.5733,50.0369,75.2,28,0,6.91,clear sky
275,Nizhniy Baskunchak,RU,48.2198,46.8311,55.36,51,94,6.33,overcast clouds
276,Aligudarz,IR,33.4006,49.6949,63.25,30,4,2.21,clear sky
277,Griffith,US,41.5284,-87.4237,39.2,75,1,3.44,clear sky
278,Banda Aceh,ID,5.5577,95.3222,86.72,65,60,7.81,broken clouds
279,Ferkessedougou,CI,9.6,-5.2,80.8,62,67,8.05,broken clouds
280,Keuruu,FI,62.2667,24.7,32.0,86,75,5.75,light snow
281,Port Macquarie,AU,-31.4333,152.9167,73.0,60,11,4.0,few clouds
282,Praxedis Guerrero,MX,31.3667,-106.0167,62.6,42,40,6.91,scattered clouds
283,Caxias,PT,38.7031,-9.2767,55.0,76,20,3.44,few clouds
284,Denia,ES,38.8408,0.1057,63.0,70,100,5.01,overcast clouds
285,Tocache,PE,-8.1842,-76.5125,68.22,98,73,0.54,broken clouds
286,Kristinehamn,SE,59.3098,14.1081,32.0,86,75,2.3,broken clouds
287,Am Timan,TD,11.0297,20.2827,87.85,26,90,6.71,overcast clouds
288,Herat,AF,34.5,62.0,69.8,52,0,2.3,clear sky
289,Khash,IR,28.2211,61.2158,70.14,41,52,3.42,broken clouds
290,Amta,IN,22.58,88.0083,87.8,55,0,9.22,haze
291,Jeremie,HT,18.65,-74.1167,78.1,79,73,4.81,broken clouds
292,Oranjemund,NA,-28.55,16.4333,56.28,68,0,9.82,clear sky
293,Mizdah,LY,31.4451,12.9801,75.51,19,7,3.6,clear sky
294,Cherskiy,RU,68.75,161.3,22.14,82,81,3.44,broken clouds
295,Mehamn,NO,71.0357,27.8492,35.6,69,40,25.32,scattered clouds
296,Mogadishu,SO,2.0371,45.3438,80.6,74,40,3.44,scattered clouds
297,Ambulu,ID,-8.345,113.6058,86.27,58,92,4.85,overcast clouds
298,Bardiyah,LY,31.7561,25.0865,78.17,25,6,9.8,clear sky
