City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Winnemucca,US,71.6,clear sky,40.973,-117.7357,Winners Inn Casino
300,Samarai,PG,82.4,few clouds,-10.6167,150.6667,Nuli Sapi
301,Sao Geraldo Do Araguaia,BR,72.1,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
303,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
304,Namatanai,PG,84.88,light rain,-3.6667,152.4333,Namatanai Hotel
306,San Carlos,VE,73.47,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
308,Kieta,PG,82.98,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
311,Beidao,CN,78.31,scattered clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
313,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Veranda Palmar Beach Hotel
314,Panaba,MX,77.27,overcast clouds,21.2833,-88.2667,Posada rosario
315,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
316,Batemans Bay,AU,73.0,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
320,Moyale,KE,68.7,light rain,3.5167,39.0584,La Tahzan Guest House
321,Bodden Town,KY,80.6,clear sky,19.2833,-81.25,Will T Place
328,Miranda,CO,68.0,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
329,Namibe,AO,75.13,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
330,Cap Malheureux,MU,79.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
337,Mlonggo,ID,89.6,few clouds,-6.5333,110.7,Asia Metal Art
338,Port Hedland,AU,96.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
340,Puerto Baquerizo Moreno,EC,75.33,clear sky,-0.9,-89.6,Hotel los Algarrobos
342,Bucerias,MX,77.0,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
343,Mingaora,PK,80.24,clear sky,34.7758,72.3625,Burj Al Swat
344,Medford,US,71.6,clear sky,42.3265,-122.8756,Rodeway Inn
346,Marihatag,PH,85.5,broken clouds,8.7936,126.2969,Mariner's Place & Resort
347,Cuamba,MZ,66.16,clear sky,-14.8031,36.5372,Hotel Vision
348,San Patricio,US,73.99,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
351,Katsuura,JP,72.0,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
352,Biu,NG,82.15,broken clouds,10.6129,12.1946,Emir's Palace
353,Mastung,PK,70.99,scattered clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
355,Pirganj,BD,87.91,broken clouds,25.8523,88.3618,শেখ ছাত্রী নিবাস
357,Faanui,PF,81.45,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
358,Deloraine,AU,72.0,overcast clouds,-41.5333,146.6667,Mountain View Country Inn
364,Pisco,PE,66.2,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
365,Manicore,BR,75.2,clear sky,-5.8092,-61.3003,Hotel Durval
371,Kohlu,PK,82.67,clear sky,29.8962,69.252,B &R Rest House
372,Port Blair,IN,87.8,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
375,Turbat,PK,90.36,overcast clouds,26.0023,63.044,Mubashar Quarters
376,Paita,PE,70.14,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
379,Gat,IL,71.01,clear sky,31.61,34.7642,OlusHome
381,Acarau,BR,76.15,scattered clouds,-2.8856,-40.12,castelo pizzaria
382,Waingapu,ID,85.35,few clouds,-9.6567,120.2641,Pondok Wisata Elim
385,Lockhart,US,77.0,scattered clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
387,Makakilo City,US,80.6,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
388,Moa,CU,75.31,few clouds,20.6569,-74.9403,Carmen
393,Sao Miguel Do Araguaia,BR,71.49,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
